Index,Directors,Genres,Number of movies,Number of awards,Number of Facebook Likes
422,Gary Ross,"Comedy, Drama",6,4,378
423,Gary Sherman,"Comedy, Romance, Thriller",19,0,17
424,Gary Shore,"Crime, Thriller",4,2,28
425,Gary Trousdale,"Adventure, Animation, Comedy, Family, Fantasy, Fiction, Science",12,6,21
426,Gary Winick,Comedy,12,9,56
427,Gaspar No\u00e9,"Comedy, Drama, Romance",29,38,0
428,Gavin Hood,"Comedy, Family, Romance",12,1,151
429,Gavin O'Connor,"Comedy, Family, Romance",21,7,149
430,Genndy Tartakovsky,"Comedy, Romance",24,3,266
431,Geoff Murphy,"Drama, History, Music, Romance, War",24,3,14
432,Geoffrey Sax,"Drama, Horror, Thriller",40,12,13
433,George A. Romero,"Horror, Thriller",22,22,0
434,George Armitage,"Action, Adventure, Comedy, Family, Fantasy, Fiction, Science",7,1,5
435,George Clooney,"Animation, Family",9,2,0
436,George Cukor,"Comedy, Crime, Documentary, Drama, History",65,1,165
437,George Hickenlooper,"Action, Adventure, Drama, Family, Horror, Thriller",21,1,60
438,George Lucas,"Comedy, Drama, Music",18,4,0
439,George Miller,"Action, Drama, Thriller",18,1,750
440,George Nolfi,"Comedy, Family",7,3,53
441,George P. Cosmatos,"Action, Horror, Mystery, Thriller",11,3,170
442,George Roy Hill,"Horror, Thriller",19,1,131
443,George Sidney,"Adventure, Comedy, Drama, Family, Fantasy, Fiction, Romance, Science",56,1,24
444,George Stevens,"Horror, Thriller",60,2,126
445,George T. Miller,Thriller,44,4,0
446,"George Tillman, Jr.","Comedy, Drama, Music, Romance",14,17,0
447,Gil Junger,Comedy,69,1,19
448,Gil Kenan,"Action, Adventure, Thriller",5,1,27
449,Gilles Paquet-Brenner,"Crime, Drama, Mystery, Thriller",10,5,15
450,Gina Prince-Bythewood,"Comedy, Crime, Romance",17,24,107
451,Giuseppe Tornatore,"Comedy, Family, Fantasy",25,2,911
452,Glen Morgan,"Comedy, Drama, Romance",3,2,17
453,Glenn Ficarra,"Action, Fiction, Science, Thriller",11,3,43
454,Gonzalo L\u00f3pez-Gallego,"Adventure, Comedy, Drama, Fantasy, Music",13,9,0
455,Gore Verbinski,Comedy,21,1,563
456,Grant Heslov,"Action, Thriller",15,1,293
457,Greg Berlanti,"Comedy, Crime, Drama, Fiction, Mystery, Romance, Science",5,1,112
458,Greg Coolidge,"Comedy, Romance",4,0,27
459,Greg Mottola,"Action, Comedy, Crime",16,13,99
460,Gregor Jordan,"Action, Adventure, Fiction, Mystery, Science, Thriller",20,13,34
461,Gregory Hoblit,"Action, Adventure, Animation, Comedy, Family, Fiction, Horror, Mystery, Science",21,9,40
462,Gregory Jacobs,Horror,4,1,13
463,Gregory Nava,"Documentary, History, Music",11,1,16
464,Gregory Poirier,"Drama, Romance",1,1,5
465,Griffin Dunne,"Action, Adventure, Family, Fantasy",12,1,165
466,Guillaume Canet,Comedy,12,28,0
467,Guillermo del Toro,"Comedy, Fiction, Science",22,2,0
468,Gurinder Chadha,"Drama, Horror, Thriller",17,30,98
469,Gus Van Sant,"Action, Crime, Thriller",51,2,835
470,Guy Hamilton,"Comedy, Drama, Romance",23,1,82
471,Guy Ritchie,"Drama, War",21,19,0
472,Ham Tran,Comedy,8,10,5
473,Hans Canosa,"Drama, Music",3,5,3
474,Harald Zwart,Comedy,19,3,91
475,Harmony Korine,"Drama, Romance",28,22,520
476,Harold Becker,Action,20,2,17
477,Harold Cronk,Drama,10,2,18
478,Harold Ramis,Drama,14,1,11000
479,Harry Beaumont,Comedy,99,1,4
480,Hart Bochner,"Adventure, Comedy, Romance",5,0,157
481,Hayao Miyazaki,"Documentary, Foreign",29,1,6000
482,Heidi Ewing,"Comedy, Romance",26,1,4
483,Henry Alex Rubin,"Drama, Fiction, Science, Thriller",7,1,30
484,Henry Bean,"Fiction, Science, Thriller",2,11,21
485,Henry Hathaway,Drama,67,1,83
486,Henry Hobson,Comedy,3,2,9
487,Henry Joost,"Animation, Family",18,5,24
488,Henry King,Comedy,116,2,85
489,Henry Koster,"Action, Thriller, War",50,1,28
490,Henry Selick,"Comedy, Drama, Romance, Thriller",12,1,253
491,Herbert Ross,"Comedy, Romance",25,2,71
492,Hideaki Anno,"Comedy, Romance",27,13,28
493,Hideo Nakata,"Comedy, Drama",37,16,62
494,Hironobu Sakaguchi,"Crime, Drama, Mystery, Thriller",10,1,6
495,Hou Hsiao-hsien,"Horror, Thriller",22,1,0
496,Howard Deutch,"Horror, Thriller",43,2,41
497,Howard Hawks,"Crime, Drama, Mystery, Thriller",47,1,393
498,Hoyt Yeatman,Comedy,3,1,12
499,Huck Botko,"Action, Crime, Drama, Thriller",12,6,10
500,Hue Rhodes,"Horror, Thriller",3,1,0
501,Hugh Hudson,"Comedy, Family",19,1,46
502,Hugh Johnson,"Action, Adventure, Drama",1,0,3
503,Hugh Wilson,"Drama, Fiction, Romance, Science",17,1,37
504,Iain Softley,"Action, Adventure, Thriller",12,5,34
505,Inna Evlannikova,"Mystery, Thriller",3,3,0
506,Irvin Kershner,"Crime, Thriller",32,1,883
507,Irwin Winkler,"Horror, Mystery, Thriller",7,1,34
508,Isabel Coixet,"Drama, Romance",36,89,148
509,Ivan Reitman,"Fantasy, Horror, Thriller",22,1,425
510,J Blakeson,"Drama, Mystery, Romance",6,4,5
511,J. Lee Thompson,"Action, Adventure, Crime, Drama, Thriller",49,1,88
512,J.B. Rogers,"Animation, Comedy, Family",6,0,6
513,J.C. Chandor,"Comedy, Romance",6,1,78
514,J.J. Abrams,Comedy,15,2,14000
515,Jack Conway,"Action, Adventure, Fiction, Science, Thriller",113,3,6
516,Jack Sholder,Comedy,22,12,28
517,Jack Smight,Drama,67,1,22
518,Jackie Chan,Comedy,19,93,0
519,Jacob Aaron Estes,"Action, Adventure, Comedy, Fantasy, Fiction, Science",4,7,9
520,Jacques Perrin,"Comedy, Drama, Romance",7,2,63
521,Jake Kasdan,"Adventure, Animation, Family, Fantasy, Fiction, Science",20,1,52
522,Jake Schreier,"Adventure, Animation, Comedy, Family",17,4,14
523,James Algar,"Fiction, Science, Thriller",27,13,11
524,James Bobin,"Adventure, Family",15,11,33
525,James Cameron,"Action, Adventure, Drama",23,3,0
526,James Cox,"Comedy, Drama",7,2,10
527,James DeMonaco,Comedy,5,5,65
528,James Foley,"Animation, Comedy, Family",32,8,164
529,James Gray,Drama,10,37,115
530,James Gunn,"Fiction, Science, Thriller",16,27,571
531,James Isaac,"Action, Crime, Thriller",5,6,52
532,James Ivory,"Comedy, Drama, Romance",34,1,133
533,James L. Brooks,"Comedy, Drama, Romance",6,3,274
534,James Manera,"Action, Thriller",3,0,0
535,James Mangold,"Comedy, Drama",16,2,446
536,James Marsh,"Drama, Romance",19,1,120
537,James McTeigue,"Action, Adventure, Fantasy, Thriller, Western",10,3,160
538,James Ponsoldt,"Comedy, Romance",17,12,53
539,James Toback,"Horror, Mystery, Thriller",12,1,56
540,James Wan,"Action, Crime, Thriller",16,27,0
541,James Watkins,"Comedy, Drama, Romance",5,7,43
542,James Whale,"Action, Crime, Thriller",23,5,0
543,James Wong,"Comedy, Family, Fantasy, Romance",7,6,70
544,Jamie Babbit,"Action, Adventure, Family, Fiction, Science",74,3,91
545,Jamie Blanks,"Comedy, Romance",6,2,9
546,Jamie Travis,"Comedy, Drama",20,16,15
547,Jan de Bont,"Adventure, Animation, Comedy, Family",5,9,101
548,Jan Pinkava,"Action, Fiction, Horror, Science, Thriller",5,1,0
549,Jane Campion,Fantasy,19,1,319
550,Jared Hess,"Adventure, Animation, Drama, Family, Fiction, Science",13,5,100
551,Jason Bateman,Drama,13,1,0
552,Jason Eisener,"Drama, Horror, Mystery, Thriller",13,10,59
553,Jason Friedberg,"Comedy, Drama, Romance",9,6,82
554,Jason Moore,"Adventure, Animation, Comedy, Family, Western",9,1,36
555,Jason Reitman,"Comedy, Romance",19,4,655
556,Jason Zada,"Family, Fantasy",6,3,4
557,Jaume Balaguer\u00f3,"Action, Adventure, Crime, Drama",17,53,0
558,Jaume Collet-Serra,"Animation, Fiction, Science",14,5,174
559,Jay Chandrasekhar,"Horror, Thriller",58,10,422
560,Jay Duplass,"Action, Fiction, Horror, Mystery, Science, Thriller",12,1,157
561,Jay Roach,"Action, Adventure, Comedy, Crime, Drama",16,4,116
562,Jay Russell,"Family, Fantasy, Music",11,5,13
563,Jean-Fran\u00e7ois Richet,"Action, Adventure, Crime, Drama, Fiction, Mystery, Science, Thriller",10,10,0
564,Jean-Jacques Annaud,"Adventure, Drama, Romance, War",16,25,218
565,Jean-Jacques Mantello,"Adventure, Comedy",8,1,0
566,Jean-Marc Vall\u00e9e,Drama,16,1,0
567,Jeannot Szwarc,"Adventure, Animation, Comedy, Family",80,4,82
568,Jean-Paul Rappeneau,"Drama, Romance",9,1,22
569,Jean-Pierre Jeunet,"Comedy, Crime, Mystery",17,1,0
570,Jeb Stuart,"Horror, Mystery",2,4,11
571,Jeff Burr,"Action, Adventure, Fiction, Science",26,6,155
572,Jeff Nichols,"Drama, Mystery",6,62,337
573,Jeff Schaffer,"Drama, History",8,6,17
574,Jeff Tremaine,"Drama, Fiction, Science",22,0,79
575,Jeff Wadlow,"Action, Drama, History, War",12,9,65
576,Jennifer Flackett,"Adventure, Comedy, Family, Fantasy, Romance",2,1,3
577,Jennifer Yuh Nelson,"Comedy, Family, Music, Romance",4,1,90
578,Jeremy Leven,"Comedy, Drama, Horror, Romance, Thriller",2,0,19
579,Jeremy Saulnier,"Comedy, Drama, Family, Fiction, Romance, Science",8,37,57
580,Jerry Jameson,"Drama, Thriller",75,0,5
581,Jerry Zucker,"Action, Adventure, Fiction, Romance, Science",7,1,109
582,Jesse Dylan,"Action, Adventure, Comedy, Family, Fantasy",23,3,58
583,Jesse Peretz,"Drama, Romance",38,1,37
584,Jessie Nelson,"Comedy, Drama, Family, Music, Romance",6,4,24
585,Jessy Terrero,"Action, Crime, Drama, Thriller",106,0,29
586,Jill Culton,"Action, Adventure, Comedy, Thriller",3,2,0
587,Jim Fall,"Documentary, Drama, Romance",14,3,13
588,Jim Field Smith,"Action, Adventure, Drama, History, Romance",17,1,14
589,Jim Gillespie,"Action, Thriller",13,1,13
590,Jim Sheridan,"Action, Crime, Thriller",13,6,260
591,Jim Sonzero,"Action, Comedy, Music, Romance, Western",6,0,2
592,Jimmy Hayward,"Adventure, Crime, Horror, Mystery",4,0,39
593,Joachim R\u00f8nning,"Comedy, Drama, Family",11,9,0
594,Joby Harold,Comedy,1,1,8
595,Jodie Foster,"Comedy, Music, Romance",9,2,0
596,Joe Carnahan,"Fiction, Science",13,7,248
597,Joe Chappelle,"Comedy, Fantasy",19,5,13
598,Joe Cornish,"Fiction, Horror, Mystery, Science",7,1,115
599,Joe Dante,"Fantasy, Horror, Thriller",40,31,287
600,Joe Johnston,Drama,17,1,394
601,Joe Nussbaum,"Action, Fantasy, Fiction, Horror, Science, Thriller",23,6,18
602,Joe Pytka,"Animation, Family",28,17,30
603,Joe Wright,Fantasy,19,1,456
604,Joel Coen,Drama,26,4,0
605,Joel Edgerton,"Drama, Romance",5,1,0
606,Joel Gallen,"Action, Adventure, Animation, Drama, Family, Fiction, Music, Science",104,1,11
607,Joel Schumacher,"Drama, Romance",35,18,541
608,Joel Zwick,"Animation, Comedy, Family, Fantasy, Fiction, Music, Science",59,4,38
609,John A. Davis,"Drama, Fantasy, Romance",8,1,8
610,John Badham,"Action, Drama, History",66,2,139
611,John Bonito,"Comedy, Drama, Fantasy, Horror, Thriller",2,0,8
612,John Boorman,"Drama, Horror, Thriller",31,5,128
613,John 'Bud' Cardos,"Horror, Thriller",11,1,8
614,John Cameron Mitchell,"Horror, Thriller",10,1,263
615,John Carl Buechler,"Action, Crime",18,8,152
616,John Carney,Drama,14,32,109
617,John Carpenter,"Action, Adventure, Fiction, Horror, Science, Thriller",32,40,0
618,John Crowley,"Comedy, Horror",9,31,34
619,John Curran,"Adventure, Animation, Comedy, Family, Fantasy",12,13,43
620,John Dahl,"Comedy, Romance",60,13,131
621,John Erick Dowdle,"Drama, Thriller",10,4,66
622,John Ford,"Action, Drama, History",147,4,673
623,John Fortenberry,"Action, Drama, Fantasy, Horror, War",119,10,12
624,John Francis Daley,Drama,7,10,0
625,John Frankenheimer,"Action, Adventure, Drama, Fiction, Horror, Science",52,2,287
626,John G. Avildsen,Horror,29,1,80
627,John Glen,"Action, Crime, Fiction, Horror, Romance, Science",12,2,46
628,John Guillermin,"Horror, Thriller",40,5,71
629,John Hamburg,"Animation, Drama, Family",13,1,29
630,John Herzfeld,"Action, Adventure, Romance, Western",23,1,17
631,John Hillcoat,Drama,50,14,214
632,John Huston,"Adventure, Comedy, Drama, Mystery, Romance",47,2,1000
633,John Lafia,"Crime, Drama, Horror, Thriller",16,2,5
634,John Landis,"Comedy, Romance",45,1,644
635,John Lasseter,"Comedy, Romance",19,1,487
636,John Lee Hancock,"Comedy, Romance",11,10,102
637,John Luessenhop,Action,4,2,34
638,John Madden,"Action, Comedy, Crime",25,1,108
639,John Maybury,"Comedy, Romance",45,7,11
640,John McNaughton,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Romance, Thriller",23,16,39
641,John McTiernan,"Drama, Thriller",12,11,323
642,John Michael McDonagh,"Romance, Thriller",5,1,51
643,John Milius,"Comedy, Drama, Music, Romance",12,1,468
644,John Moore,"Animation, Comedy, Family",9,0,212
645,John Ottman,"Comedy, Romance",2,1,83
646,John Pasquin,Documentary,45,3,11
647,John Patrick Shanley,"Animation, Comedy, Drama, Family, Fantasy",3,1,53
648,John Polson,"Action, Comedy, Crime",23,11,21
649,John R. Leonetti,"Comedy, Music, Romance",11,7,40
650,John Sayles,"Action, Comedy, Drama, Romance, Thriller",24,2,407
651,John Schlesinger,"Horror, Thriller",32,1,154
652,John Schultz,"Action, Adventure, Animation, Fiction, Science, Thriller",11,4,13
653,John Singleton,Comedy,19,2,309
654,John Stockwell,"Comedy, Drama, Mystery, Romance",20,1,134
655,John Sturges,"Comedy, Crime, Drama, Thriller",44,1,120
656,John Sullivan,"Action, Crime",0,8,0
657,John Waters,"Action, Comedy, Crime",18,14,0
658,John Wells,Comedy,7,6,53
659,John Whitesell,"Drama, Music, Romance",57,1,14
660,John Woo,"Comedy, Drama, Music, Romance",43,39,610
661,Jon Amiel,Comedy,40,6,36
662,Jon Avnet,"Adventure, Animation, Comedy, Family, Fantasy, Music",26,2,50
663,Jon Erwin,"Action, Drama, Thriller",15,4,0
664,Jon Favreau,Drama,23,1,4000
665,Jon Hess,"Action, Comedy, Fiction, Horror, Science",12,1,29
666,Jon Hurwitz,"Comedy, Horror",5,0,22
667,Jon Kasdan,"Comedy, Drama",3,1,21
668,Jon Lucas,"Comedy, Drama, Romance",5,1,24
669,Jon M. Chu,"Action, Crime, Fiction, Horror, Science, Thriller",25,4,209
670,Jon Turteltaub,"Action, Thriller",20,2,226
671,Jonas Elmer,"Action, Adventure, Comedy, Family, Fantasy, Fiction, Romance, Science",11,8,3
672,Jonathan Dayton,"Action, Comedy, Drama, Music, Western",50,46,36
673,Jonathan Demme,"Action, Adventure, Comedy, Crime, Drama, Romance, Thriller",70,1,438
674,Jonathan Frakes,"Action, Adventure, Comedy, Family, Fiction, Science",43,5,906
675,Jonathan Glazer,"Drama, Fantasy, Romance",21,46,143
676,Jonathan Hensleigh,"Adventure, Comedy, Crime, Family, Fantasy, Music",4,2,36
677,Jonathan Kaplan,Action,38,5,57
678,Jonathan Levine,"Action, Adventure, Comedy, Crime, Drama, Family",13,15,129
679,Jonathan Liebesman,"Action, Crime, Drama, Thriller",10,5,473
680,Jonathan Lynn,"Comedy, Crime, Drama, Romance, Thriller",14,7,36
681,Jonathan Mostow,Drama,12,3,84
682,Jonathan Teplitzky,"Action, Adventure, Crime, Drama, Family, Fantasy, Fiction, Horror, Mystery, Science, Thriller",13,19,6
683,Jorge Blanco,"Action, Crime, Drama, Mystery, Thriller",0,1,2
684,Jorge R. Gutierrez,"Drama, Romance",8,6,0
685,Jorma Taccone,"Action, Crime, Drama, Horror, Thriller",20,1,434
686,Jos\u00e9 Padilha,"Action, Adventure, Fiction, Science",13,70,0
687,Josef Rusnak,"Action, Adventure, Comedy, Family, Fiction, Science",18,1,9
688,Joseph Dorman,"Comedy, Drama, Romance",4,0,0
689,Joseph Kahn,"Action, Crime, Drama, Thriller",127,22,33
690,Joseph Kosinski,"Family, Horror",6,1,364
691,Joseph L. Mankiewicz,Comedy,22,4,311
692,Joseph Ruben,"Adventure, Animation, Comedy, Family",16,7,29
693,Joseph Sargent,"Fiction, Horror, Science, Thriller",92,4,114
694,Joseph Zito,"Adventure, Comedy, Drama, Fiction, Science",10,0,17
695,Josh Boone,"Action, Fantasy, Fiction, Horror, Science, Thriller",4,3,131
696,Josh Gordon,"Fiction, Science",10,1,8
697,Josh Schwartz,"Drama, Music, Romance",3,1,90
698,Josh Trank,"Action, Fantasy, Fiction, Science",5,3,128
699,Joshua Logan,"Comedy, Music, Romance",11,3,32
700,Joshua Michael Stern,"Action, Comedy, Crime, Drama, Mystery, Romance, Thriller",5,0,0
701,Joshua Oppenheimer,"Comedy, Drama",15,2,50
702,Joshua Seftel,"Action, Crime, Drama",23,23,0
703,Joss Whedon,"Action, Comedy, Crime, Drama",14,1,0
704,Juan Antonio Bayona,"Comedy, Family, Fantasy, Romance",20,54,0
705,Juan Carlos Fresnadillo,"Action, Adventure, Comedy",11,1,35
706,Juan Jos\u00e9 Campanella,"Drama, History",29,1,0
707,Judd Apatow,"Horror, Thriller",21,1,0
708,Julian Gilbey,"Animation, Family",8,7,7
709,Julian Jarrold,"Adventure, Comedy, Family, Fiction, Science",35,1,11
710,Julian Schnabel,"Comedy, Crime, Romance",6,1,232
711,Julie Anne Robinson,"Comedy, Drama",46,6,30
712,Julie Taymor,"Action, Adventure, Fiction, Science",8,1,278
713,Jun Falkenstein,"Action, Drama, Thriller",11,1,25
714,Justin Chadwick,"Horror, Mystery, Thriller",23,1,56
715,Justin Kerrigan,"Comedy, Drama, War",6,13,8
716,Justin Lin,"Action, Fiction, Horror, Science",23,10,681
717,Justin Zackham,"Action, Adventure, Family",3,1,16
718,Karan Johar,"Adventure, Family, Fantasy",10,75,160
719,Karen Moncrieff,"Comedy, Drama, Romance",12,10,22
720,Karey Kirkpatrick,Drama,3,12,11
721,Karyn Kusama,"Comedy, Romance",15,30,45
722,Kasi Lemmons,"Drama, History",10,18,148
723,Kathryn Bigelow,"Action, Crime, Drama, Fiction, Science, Thriller",21,2,0
724,Katsuhiro \u014ctomo,"Action, Adventure, Comedy, Fantasy, Fiction, Mystery, Science, Thriller",16,9,0
725,Katt Shea,"Crime, Horror, Thriller",12,1,52
726,Keenen Ivory Wayans,"Adventure, Comedy, Fiction, Romance, Science",8,1,322
727,Kelly Asbury,"Comedy, Music",5,12,21
728,Ken Kwapis,"Action, Crime, Drama, Mystery, Thriller",40,2,42
729,Ken Loach,"Action, Animation, Comedy, Drama, Family, Fantasy, Thriller, Western",55,1,644
730,Ken Scott,"Crime, Drama, Mystery",5,20,31
731,Kenneth Branagh,"Drama, War",20,5,0
732,Kenneth Johnson,Comedy,32,4,34
733,Kenny Ortega,"Action, Adventure, Animation, Comedy, Family, Fiction, Science",47,3,197
734,Kerry Conran,"Crime, Drama, Fiction, Science, Thriller, War",3,4,14
735,Kevin Allen,"Action, Fantasy, Fiction, Horror, Science",9,3,8
736,Kevin Bray,"Drama, Horror, Mystery, Thriller",97,1,10
737,Kevin Costner,"Comedy, Drama, Romance",3,2,0
738,Kevin Greutert,"Comedy, Crime, Romance, Thriller",8,0,52
739,Kevin Hooks,"Action, Adventure, Comedy, Crime, Drama, Romance, Thriller",93,1,114
740,Kevin Lima,"Action, Adventure, Comedy, Family, Fantasy, Romance",6,6,36
741,Kevin Macdonald,"Action, Adventure, Crime, Drama, Music, Mystery, Thriller",29,1,162
742,Kevin Munroe,"Horror, Mystery, Thriller",5,1,14
743,Kevin Reynolds,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery",12,1,58
744,Kevin Rodney Sullivan,"Action, Adventure, Animation, Comedy, Family, Fiction, Science",41,8,8
745,Kevin Smith,Comedy,30,37,0
746,Kevin Tancharoen,"Adventure, Comedy, Drama, Romance",30,2,64
747,Khalid Mohammed,"Action, Comedy, Drama, Romance",6,0,0
748,Kimberly Peirce,"Action, Adventure, Crime, Drama, Fiction, Horror, Science, Thriller",18,28,108
749,King Vidor,"Adventure, Animation, Family",78,5,54
750,Kinka Usher,"Crime, Horror, Thriller",5,2,18
751,Kirk De Micco,"Comedy, Crime, Drama, Romance",3,1,16
752,Kirk Jones,"Drama, Horror, Thriller",5,8,52
753,Kirk Wong,Drama,14,4,6
754,Kirsten Sheridan,"Drama, Fantasy, Romance",8,1,59
755,Kurt Wimmer,"Action, Adventure, Fiction, Science, Thriller",3,0,110
756,Kyle Balda,"Drama, Romance, Thriller",12,1,22
757,Lance Mungia,"Drama, Music, Romance",7,3,4
758,Larry Charles,"Action, Comedy, Fiction, Science",16,2,119
759,Larry Clark,"Action, Comedy, Crime",15,15,184
760,Lars von Trier,"Adventure, Comedy, Drama, Family",45,1,3000
761,Lasse Hallstr\u00f6m,"Action, Comedy, Drama, History, Horror, Romance, Thriller",74,3,0
762,Lauren Lazin,"Comedy, Drama, Family, Romance",23,1,2
763,Laurie Collyer,"Comedy, Crime, Drama, Romance",8,18,38
764,Lawrence Guterman,"Action, Comedy, Fiction, Horror, Science",9,2,6
765,Lawrence Kasdan,"Action, Fantasy, Fiction, Horror, Science, Thriller",12,4,759
766,Lee Daniels,"Crime, Drama, Thriller",9,2,304
767,Lee Tamahori,"Drama, History",13,14,93
768,Lee Toland Krieger,"Action, Adventure, Thriller",16,3,43
769,Lee Unkrich,"Action, Adventure, Drama, Fantasy",8,2,125
770,Leigh Whannell,"Action, Comedy, Crime, Drama, Thriller",4,14,482
771,Len Wiseman,"Animation, Comedy, Family",17,1,235
772,Lenny Abrahamson,"Crime, Drama",11,1,412
773,Leonard Nimoy,"Action, Crime, Drama, Thriller",12,4,12000
774,Les Mayfield,"Action, Fiction, Mystery, Science, Thriller",10,2,10
775,Leslye Headland,"Action, Adventure, Comedy, Drama, Family, Fiction, Romance, Science",12,2,21
776,Levan Gabriadze,"Action, Crime, Drama, Fantasy, Horror, Thriller",5,7,6
777,Lewis Gilbert,"Drama, Thriller",42,1,43
778,Lexi Alexander,"Documentary, Drama, Mystery, Thriller",14,1,189
779,Lijun Sun,"Action, Adventure, Horror, Thriller",4,4,0
780,Lilly Wachowski,"Drama, Mystery, Romance, Thriller",11,34,0
781,Lisa Cholodenko,"Adventure, Fiction, Science",17,1,450
782,Liv Ullmann,"Action, Comedy, Fiction, Horror, Science, Thriller",7,2,440
783,Liz Friedlander,"Drama, Family, Music, Romance",64,0,3
784,Lloyd Bacon,"Action, Adventure, Animation, Comedy, Family, Fantasy",130,3,24
785,Lone Scherfig,"Horror, Mystery",18,56,92
786,Lorene Scafaria,"Drama, Music",6,19,63
787,Louis Leterrier,"Action, Crime, Drama, Mystery, Thriller",13,1,255
788,Lowell Sherman,Documentary,15,0,16
789,Lu Chuan,"Action, Adventure, Animation, Comedy, Family, Fantasy, Mystery, Thriller",11,47,0
790,Luc Besson,"Action, Adventure, Comedy, Crime, Drama, Romance, Thriller",31,1,0
791,Luc Jacquet,"Action, Adventure, History, War",8,1,10
792,Lucky McKee,"Drama, Family",13,19,75
793,Luis Llosa,"Action, Comedy, Crime, Thriller",11,1,49
794,Luis Mandoki,"Drama, Family",24,10,43
795,Luis Valdez,"Adventure, Comedy, Romance",9,2,7
796,Luke Greenfield,Comedy,16,6,42
797,Lynn Shelton,"Adventure, Comedy, Drama, Family, Fantasy, Fiction, Romance, Science",29,26,100
798,Lynne Ramsay,"Drama, Romance",9,1,159
799,M. Night Shyamalan,"Comedy, Crime, Music, Mystery, Thriller",16,2,0
800,M\u00e5ns M\u00e5rlind,"Fiction, Horror, Science",0,0,0
801,Mabrouk El Mechri,"Fiction, Horror, Science, Thriller",9,1,19
802,Maggie Carey,"Crime, Horror, Mystery",26,2,38
803,Majid Majidi,"Comedy, Drama, Family, Fantasy, Romance",19,54,373
804,Malcolm D. Lee,"Drama, Horror, Thriller",17,17,92
805,Marc Forby,"Crime, Drama, Mystery, Thriller",2,2,3
806,Marc Forster,"Animation, Family, Fantasy",17,1,395
807,Marc Lawrence,"Crime, Drama, History, Mystery",7,1,30
808,Marc Webb,"Fiction, Romance, Science, Thriller",61,14,464
809,Marco Schnabel,"Comedy, Drama, Romance",1,1,12
810,Marcus Raboy,"Drama, Mystery",86,2,7
811,Marielle Heller,"Comedy, Drama",5,33,22
812,Mark A.Z. Dipp\u00e9,"Comedy, Drama, Romance",16,2,0
813,Mark Christopher,"Action, Crime, Drama, Mystery, Thriller",8,9,15
814,Mark Dindal,"Action, Adventure, Drama, Fiction, Science, Thriller",4,3,10
815,Mark Helfrich,"Crime, Drama, Horror, Thriller",3,3,7
816,Mark Herman,"Drama, History, Romance, War, Western",8,2,39
817,Mark Illsley,"Adventure, Animation, Comedy, Family, Fantasy",2,4,3
818,Mark L. Lester,"Drama, History, Romance",34,3,73
819,Mark Mylod,"Comedy, Family, Fantasy",32,2,20
820,Mark Neveldine,"Action, Comedy, Fantasy, Fiction, Horror, Science, Thriller",5,0,83
821,Mark Osborne,"Action, Adventure, Comedy, Crime, Drama, Fantasy, Horror, Mystery, Romance, Thriller",17,2,54
822,Mark Pellington,"Comedy, Family, Fantasy",71,1,89
823,Mark Romanek,"Action, Adventure, Drama, Fiction, Science, Thriller, War",77,33,132
824,Mark Rosman,"Animation, Drama, War",23,0,15
825,Mark Rydell,"Comedy, Drama, Family, Fantasy, Romance",26,1,43
826,Mark Sandrich,"Drama, Romance",77,2,10
827,Mark Steven Johnson,"Drama, History",7,1,160
828,Mark Tarlov,"Action, Crime, Mystery, Thriller",2,0,3
829,Mark Tonderai,"Crime, Horror, Thriller",25,1,13
830,Mark Waters,"Drama, Thriller",21,7,70
831,Martin Brest,Drama,9,2,102
832,Martin Campbell,"Adventure, Fiction, Mystery, Science, Western",33,5,258
833,Martin Koolhoven,"Crime, Drama, Thriller",15,45,12
834,Martin Lawrence,"Action, Adventure, Crime, Drama, Western",1,16,0
835,Martin McDonagh,"Comedy, Family, Romance",4,1,454
836,Martin Ritt,"Action, Adventure, Drama, Thriller",30,1,58
837,Martin Scorsese,"Action, Drama, History, Western",65,1,17000
838,Mary Harron,"Fiction, Mystery, Science, Thriller",27,18,126
839,Mary Lambert,"Comedy, Drama, History, Romance",74,7,52
840,Mathieu Kassovitz,Drama,12,32,326
841,Matt Bettinelli-Olpin,Drama,16,4,14
842,Matt Reeves,"Adventure, Animation, Comedy, Family",13,11,198
843,Matt Williams,"Action, Adventure, Animation, Comedy, Family",3,6,18
844,Matthew O'Callaghan,"Animation, Family",13,6,5
845,Matthew Robbins,"Action, Comedy, Thriller",8,11,25
846,Matthew Vaughn,Drama,7,1,905
847,Max Joseph,Horror,14,2,31
848,McG,"Drama, Romance",43,3,368
849,Meiert Avis,"Comedy, Crime, Drama",94,4,0
850,Mel Brooks,"Adventure, Comedy, Drama, Family, History, Romance",11,1,0
851,Mel Gibson,"Action, Adventure, Comedy, Drama, Family, Fiction, Science, Thriller",9,2,0
852,Mel Stuart,"Drama, Horror, Thriller",54,1,21
853,Melvin Van Peebles,"Adventure, Comedy, History, Romance",17,11,101
854,Mennan Yapo,Documentary,3,3,9
855,Mervyn LeRoy,"Comedy, Drama, Fiction, Romance, Science",79,1,54
856,Mic Rodgers,"Action, Crime, Drama",1,7,7
857,Michael Anderson,"Adventure, Animation, Comedy, Family, Fantasy, Fiction, Music, Romance, Science",43,1,23
